"avg_type","id","player","team","pos","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","pos_rank","tier"
"average","0523",NA,"GB","DST",101.98,18.7655801935352,0.290000000000006,83.32,125.62,-17.7966666666667,-22.2425,-12.5625,160,175,136,18,11
"robust","0525",NA,"TB","DST",99.425,8.30255999999999,0.325000000000003,88.36,106.61,-17.53,-17.2025,-31.5725,160,156,200,20,14
"average","0517",NA,"NYG","DST",101.69,18.5781592199012,0.859999999999999,86.54,126.56,-18.0866666666667,-19.0225,-11.6225,161,162,132,19,11
"robust","0520",NA,"WAS","DST",99.1,30.3933,0.0999999999999943,75.12,122,-17.855,-30.4425,-16.1825,161,191,147,21,14
"average","0506",NA,"CIN","DST",100.83,10.9415264017412,0.666666666666657,90.64,114.77,-18.9466666666667,-14.9225,-23.4125,162,146,175,20,12
"robust","0506",NA,"CIN","DST",99,10.3782,1,90.64,114.77,-17.955,-14.9225,-23.4125,162,146,175,22,14
"average","0508",NA,"TEN","DST",100.163333333333,14.9324702131518,1.20333333333335,80.92,113.796666666667,-19.6133333333333,-24.6425,-24.3858333333333,164,181,180,21,13
"robust","0517",NA,"NYG","DST",98,7.85778,0.599999999999994,86.54,126.56,-18.955,-19.0225,-11.6225,165,162,132,23,15
"average","0520",NA,"WAS","DST",98.96,21.4742403823744,0.149999999999991,75.12,122,-20.8166666666667,-30.4425,-16.1825,169,191,147,22,13
"average","0525",NA,"TB","DST",98.81,8.48030070221569,2.40000000000001,88.36,106.61,-20.9666666666667,-17.2025,-31.5725,170,156,200,23,14
"robust","0502",NA,"IND","DST",97.4,10.15581,0.799999999999997,84.32,105.24,-19.555,-21.2425,-32.9425,170,170,205,24,16
"robust","0516",NA,"DAL","DST",96.6,21.34944,1.5,68.44,123.2,-20.355,-37.1225,-14.9825,173,204,144,25,17
"robust","0512",NA,"KC","DST",95.1,19.12554,0.433333333333351,80.84,108.88,-21.855,-24.7225,-29.3025,179,182,194,26,17
"average","0502",NA,"IND","DST",96.41,9.38592030650165,0.809999999999988,84.32,105.24,-23.3666666666667,-21.2425,-32.9425,181,170,205,24,14
"robust","0519",NA,"ARI","DST",94.6666666666667,21.34944,1.56666666666666,78.32,110.853333333333,-22.2883333333333,-27.2425,-27.3291666666667,181,188,188,27,18
"average","0516",NA,"DAL","DST",95.6,23.655971761904,0.600000000000009,68.44,123.2,-24.1766666666667,-37.1225,-14.9825,183,204,144,25,15
"average","0512",NA,"KC","DST",95,13.0589050076949,0.0266666666666708,80.84,108.88,-24.7766666666667,-24.7225,-29.3025,184,182,194,26,15
"average","0519",NA,"ARI","DST",94.9733333333333,15.1065548686654,1.21333333333332,78.32,110.853333333333,-24.8033333333333,-27.2425,-27.3291666666667,185,188,188,27,16
"average","0503",NA,"MIA","DST",93.76,17.05324016133,1.12666666666667,73.44,112.36,-26.0166666666667,-32.1225,-25.8225,187,194,183,28,16
"robust","0503",NA,"MIA","DST",93.1,20.31162,0.0999999999999943,73.44,112.36,-23.855,-32.1225,-25.8225,187,194,183,28,18
"robust","0527",NA,"CAR","DST",93,2.29803,0.900000000000006,80.16,99.47,-23.955,-25.4025,-38.7125,188,184,220,29,19
"robust","0505",NA,"NYJ","DST",92.1,34.24806,0.949999999999989,67.24,114.813333333333,-24.855,-38.3225,-23.3691666666667,189,208,174,30,20
"average","0513",NA,"LV","DST",92.6333333333333,14.2480992884431,1.02333333333334,75.98,106.046666666667,-27.1433333333333,-29.5825,-32.1358333333333,191,190,202,29,17
"robust","0513",NA,"LV","DST",91.15,10.92182,0.150000000000006,75.98,106.046666666667,-25.805,-29.5825,-32.1358333333333,192,190,202,31,20
